date,event_1,event_2
1415-12-07,تاسوعای حسینی,
1415-12-08,عاشورای حسینی,
1415-12-29,روز ملی شدن صنعت نفت ایران,
1416-01-01,جشن نوروز/جشن سال نو,
1416-01-02,عیدنوروز,
1416-01-03,عیدنوروز,
1416-01-04,عیدنوروز,
1416-01-12,روز جمهوری اسلامی,
1416-01-13,جشن سیزده به در,
1416-01-19,اربعین حسینی,
1416-01-27,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1416-01-29,شهادت امام رضا علیه السلام,
1416-02-06,شهادت امام حسن عسکری علیه السلام,
1416-02-15,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1416-03-14,رحلت حضرت امام خمینی,
1416-03-15,قیام 15 خرداد,
1416-04-27,شهادت حضرت فاطمه زهرا سلام الله علیها,
1416-06-04,ولادت امام علی علیه السلام و روز پدر,
1416-06-18,مبعث رسول اکرم (ص),
1416-07-05,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1416-08-10,شهادت حضرت علی علیه السلام,
1416-08-19,عید سعید فطر,
1416-08-20,تعطیل به مناسبت عید سعید فطر,
1416-09-13,شهادت امام جعفر صادق علیه السلام,
1416-10-28,عید سعید قربان,
1416-11-06,عید سعید غدیر خم,
1416-11-22,پیروزی انقلاب اسلامی,
1416-11-26,تاسوعای حسینی,
1416-11-27,عاشورای حسینی,
1416-12-29,روز ملی شدن صنعت نفت ایران,
1416-12-30,آخرین روز سال,
1417-01-01,جشن نوروز/جشن سال نو,
1417-01-02,عیدنوروز,
1417-01-03,عیدنوروز,
1417-01-04,عیدنوروز,
1417-01-07,اربعین حسینی,
1417-01-12,روز جمهوری اسلامی,
1417-01-13,جشن سیزده به در,
1417-01-15,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1417-01-17,شهادت امام رضا علیه السلام,
1417-01-25,شهادت امام حسن عسکری علیه السلام,
1417-02-03,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1417-03-14,رحلت حضرت امام خمینی,
1417-03-15,قیام 15 خرداد,
1417-04-15,شهادت حضرت فاطمه زهرا سلام الله علیها,
1417-05-24,ولادت امام علی علیه السلام و روز پدر,
1417-06-07,مبعث رسول اکرم (ص),
1417-06-24,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1417-07-29,شهادت حضرت علی علیه السلام,
1417-08-08,عید سعید فطر,
1417-08-09,تعطیل به مناسبت عید سعید فطر,
1417-09-02,شهادت امام جعفر صادق علیه السلام,
1417-10-16,عید سعید قربان,
1417-10-24,عید سعید غدیر خم,
1417-11-15,تاسوعای حسینی,
1417-11-16,عاشورای حسینی,
1417-11-22,پیروزی انقلاب اسلامی,
1417-12-25,اربعین حسینی,
1417-12-29,روز ملی شدن صنعت نفت ایران,
1418-01-01,جشن نوروز/جشن سال نو,
1418-01-02,عیدنوروز,
1418-01-03,عیدنوروز,
1418-01-04,عیدنوروز,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام
1418-01-06,شهادت امام رضا علیه السلام,
1418-01-12,روز جمهوری اسلامی,
1418-01-13,جشن سیزده به در,
1418-01-14,شهادت امام حسن عسکری علیه السلام,
1418-01-23,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1418-03-14,رحلت حضرت امام خمینی,
1418-03-15,قیام 15 خرداد,
1418-04-05,شهادت حضرت فاطمه زهرا سلام الله علیها,
1418-05-13,ولادت امام علی علیه السلام و روز پدر,
1418-05-27,مبعث رسول اکرم (ص),
1418-06-14,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1418-07-18,شهادت حضرت علی علیه السلام,
1418-07-28,عید سعید فطر,
1418-07-29,تعطیل به مناسبت عید سعید فطر,
1418-08-22,شهادت امام جعفر صادق علیه السلام,
1418-10-06,عید سعید قربان,
1418-10-14,عید سعید غدیر خم,
1418-11-04,تاسوعای حسینی,
1418-11-05,عاشورای حسینی,
1418-11-22,پیروزی انقلاب اسلامی,
1418-12-15,اربعین حسینی,
1418-12-23,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1418-12-29,روز ملی شدن صنعت نفت ایران,
1419-01-01,جشن نوروز/جشن سال نو,
