date,event_1,event_2
1380-01-01,جشن نوروز/جشن سال نو,
1380-01-02,عیدنوروز,
1380-01-03,عیدنوروز,
1380-01-04,عیدنوروز,
1380-01-12,روز جمهوری اسلامی,
1380-01-13,جشن سیزده به در,
1380-01-15,تاسوعای حسینی,
1380-01-16,عاشورای حسینی,
1380-02-24,اربعین حسینی,
1380-03-01,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1380-03-03,شهادت امام رضا علیه السلام,
1380-03-11,شهادت امام حسن عسکری علیه السلام,
1380-03-14,رحلت حضرت امام خمینی,
1380-03-15,قیام 15 خرداد,
1380-03-20,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1380-06-01,شهادت حضرت فاطمه زهرا سلام الله علیها,
1380-07-09,ولادت امام علی علیه السلام و روز پدر,
1380-07-23,مبعث رسول اکرم (ص),
1380-08-10,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1380-09-16,شهادت حضرت علی علیه السلام,
1380-09-25,عید سعید فطر,
1380-09-26,تعطیل به مناسبت عید سعید فطر,
1380-10-19,شهادت امام جعفر صادق علیه السلام,
1380-11-22,پیروزی انقلاب اسلامی,
1380-12-04,عید سعید قربان,
1380-12-12,عید سعید غدیر خم,
1380-12-29,روز ملی شدن صنعت نفت ایران,
1381-01-01,جشن نوروز/جشن سال نو,
1381-01-02,عیدنوروز,
1381-01-03,عیدنوروز,
1381-01-04,عیدنوروز,تاسوعای حسینی
1381-01-05,عاشورای حسینی,
1381-01-12,روز جمهوری اسلامی,
1381-01-13,جشن سیزده به در,
1381-02-13,اربعین حسینی,
1381-02-21,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1381-02-23,شهادت امام رضا علیه السلام,
1381-02-31,شهادت امام حسن عسکری علیه السلام,
1381-03-09,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1381-03-14,رحلت حضرت امام خمینی,
1381-03-15,قیام 15 خرداد,
1381-05-21,شهادت حضرت فاطمه زهرا سلام الله علیها,
1381-06-30,ولادت امام علی علیه السلام و روز پدر,
1381-07-13,مبعث رسول اکرم (ص),
1381-07-30,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1381-09-06,شهادت حضرت علی علیه السلام,
1381-09-15,عید سعید فطر,
1381-09-16,تعطیل به مناسبت عید سعید فطر,
1381-10-09,شهادت امام جعفر صادق علیه السلام,
1381-11-22,پیروزی انقلاب اسلامی,
1381-11-23,عید سعید قربان,
1381-12-01,عید سعید غدیر خم,
1381-12-22,تاسوعای حسینی,
1381-12-23,عاشورای حسینی,
1381-12-29,روز ملی شدن صنعت نفت ایران,
1382-01-01,جشن نوروز/جشن سال نو,
1382-01-02,عیدنوروز,
1382-01-03,عیدنوروز,
1382-01-04,عیدنوروز,
1382-01-12,روز جمهوری اسلامی,
1382-01-13,جشن سیزده به در,
1382-02-03,اربعین حسینی,
1382-02-11,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1382-02-20,شهادت امام حسن عسکری علیه السلام,
1382-02-29,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1382-03-14,رحلت حضرت امام خمینی,
1382-03-15,قیام 15 خرداد,
1382-05-11,شهادت حضرت فاطمه زهرا سلام الله علیها,
1382-06-19,ولادت امام علی علیه السلام و روز پدر,
1382-07-02,مبعث رسول اکرم (ص),
1382-07-20,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1382-08-25,شهادت حضرت علی علیه السلام,
1382-09-05,عید سعید فطر,
1382-09-06,تعطیل به مناسبت عید سعید فطر,
1382-09-29,شهادت امام جعفر صادق علیه السلام,
1382-11-13,عید سعید قربان,
1382-11-21,عید سعید غدیر خم,
1382-11-22,پیروزی انقلاب اسلامی,
1382-12-11,تاسوعای حسینی,
1382-12-12,عاشورای حسینی,
1382-12-29,روز ملی شدن صنعت نفت ایران,
1383-01-01,جشن نوروز/جشن سال نو,
1383-01-02,عیدنوروز,
1383-01-03,عیدنوروز,
1383-01-04,عیدنوروز,
1383-01-12,روز جمهوری اسلامی,
1383-01-13,جشن سیزده به در,
1383-01-23,اربعین حسینی,
1383-01-31,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1383-02-09,شهادت امام حسن عسکری علیه السلام,
1383-02-18,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1383-03-14,رحلت حضرت امام خمینی,
1383-03-15,قیام 15 خرداد,
1383-04-31,شهادت حضرت فاطمه زهرا سلام الله علیها,
1383-06-09,ولادت امام علی علیه السلام و روز پدر,
1383-06-23,مبعث رسول اکرم (ص),
1383-07-10,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1383-08-15,شهادت حضرت علی علیه السلام,
1383-08-24,عید سعید فطر,
1383-08-25,تعطیل به مناسبت عید سعید فطر,
1383-09-18,شهادت امام جعفر صادق علیه السلام,
1383-11-02,عید سعید قربان,
1383-11-10,عید سعید غدیر خم,
1383-11-22,پیروزی انقلاب اسلامی,
1383-12-01,تاسوعای حسینی,
1383-12-02,عاشورای حسینی,
1383-12-29,روز ملی شدن صنعت نفت ایران,
1383-12-30,آخرین روز سال,
1384-01-01,جشن نوروز/جشن سال نو,
1384-01-02,عیدنوروز,
1384-01-03,عیدنوروز,
1384-01-04,عیدنوروز,
1384-01-11,اربعین حسینی,
1384-01-12,روز جمهوری اسلامی,
1384-01-13,جشن سیزده به در,
1384-01-19,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1384-01-28,شهادت امام حسن عسکری علیه السلام,
1384-02-06,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1384-03-14,رحلت حضرت امام خمینی,
1384-03-15,قیام 15 خرداد,
1384-04-19,شهادت حضرت فاطمه زهرا سلام الله علیها,
1384-05-28,ولادت امام علی علیه السلام و روز پدر,
1384-06-11,مبعث رسول اکرم (ص),
1384-06-29,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1384-08-03,شهادت حضرت علی علیه السلام,
1384-08-13,عید سعید فطر,
1384-08-14,تعطیل به مناسبت عید سعید فطر,
1384-09-07,شهادت امام جعفر صادق علیه السلام,
1384-10-21,عید سعید قربان,
1384-10-29,عید سعید غدیر خم,
1384-11-19,تاسوعای حسینی,
1384-11-20,عاشورای حسینی,
1384-11-22,پیروزی انقلاب اسلامی,
1384-12-29,روز ملی شدن صنعت نفت ایران,
1385-01-01,جشن نوروز/جشن سال نو,اربعین حسینی
1385-01-02,عیدنوروز,
1385-01-03,عیدنوروز,
1385-01-04,عیدنوروز,
1385-01-09,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1385-01-12,روز جمهوری اسلامی,
1385-01-13,جشن سیزده به در,
1385-01-18,شهادت امام حسن عسکری علیه السلام,
1385-01-27,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1385-03-14,رحلت حضرت امام خمینی,
1385-03-15,قیام 15 خرداد,
1385-04-08,شهادت حضرت فاطمه زهرا سلام الله علیها,
1385-05-17,ولادت امام علی علیه السلام و روز پدر,
1385-05-31,مبعث رسول اکرم (ص),
1385-06-18,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1385-07-23,شهادت حضرت علی علیه السلام,
1385-08-02,عید سعید فطر,
1385-08-03,تعطیل به مناسبت عید سعید فطر,
1385-08-26,شهادت امام جعفر صادق علیه السلام,
1385-10-10,عید سعید قربان,
1385-10-18,عید سعید غدیر خم,
1385-11-09,تاسوعای حسینی,
1385-11-10,عاشورای حسینی,
1385-11-22,پیروزی انقلاب اسلامی,
1385-12-19,اربعین حسینی,
1385-12-27,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1385-12-29,روز ملی شدن صنعت نفت ایران,شهادت امام رضا علیه السلام
1386-01-01,جشن نوروز/جشن سال نو,
1386-01-02,عیدنوروز,
1386-01-03,عیدنوروز,
1386-01-04,عیدنوروز,
1386-01-08,شهادت امام حسن عسکری علیه السلام,
1386-01-12,روز جمهوری اسلامی,
1386-01-13,جشن سیزده به در,
1386-01-17,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1386-03-14,رحلت حضرت امام خمینی,
1386-03-15,قیام 15 خرداد,
1386-03-28,شهادت حضرت فاطمه زهرا سلام الله علیها,
1386-05-06,ولادت امام علی علیه السلام و روز پدر,
1386-05-20,مبعث رسول اکرم (ص),
1386-06-07,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1386-07-11,شهادت حضرت علی علیه السلام,
1386-07-21,عید سعید فطر,
