date,event_1,event_2
1386-07-22,تعطیل به مناسبت عید سعید فطر,
1386-08-15,شهادت امام جعفر صادق علیه السلام,
1386-09-30,عید سعید قربان,
1386-10-08,عید سعید غدیر خم,
1386-10-28,تاسوعای حسینی,
1386-10-29,عاشورای حسینی,
1386-11-22,پیروزی انقلاب اسلامی,
1386-12-09,اربعین حسینی,
1386-12-17,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1386-12-26,شهادت امام حسن عسکری علیه السلام,
1386-12-29,روز ملی شدن صنعت نفت ایران,
1387-01-01,جشن نوروز/جشن سال نو,
1387-01-02,عیدنوروز,
1387-01-03,عیدنوروز,
1387-01-04,عیدنوروز,
1387-01-06,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1387-01-12,روز جمهوری اسلامی,
1387-01-13,جشن سیزده به در,
1387-03-14,رحلت حضرت امام خمینی,
1387-03-15,قیام 15 خرداد,
1387-03-18,شهادت حضرت فاطمه زهرا سلام الله علیها,
1387-04-26,ولادت امام علی علیه السلام و روز پدر,
1387-05-09,مبعث رسول اکرم (ص),
1387-05-27,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1387-07-01,شهادت حضرت علی علیه السلام,
1387-07-10,عید سعید فطر,
1387-07-11,تعطیل به مناسبت عید سعید فطر,
1387-08-04,شهادت امام جعفر صادق علیه السلام,
1387-09-19,عید سعید قربان,
1387-09-27,عید سعید غدیر خم,
1387-10-17,تاسوعای حسینی,
1387-10-18,عاشورای حسینی,
1387-11-22,پیروزی انقلاب اسلامی,
1387-11-28,اربعین حسینی,
1387-12-06,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1387-12-08,شهادت امام رضا علیه السلام,
1387-12-16,شهادت امام حسن عسکری علیه السلام,
1387-12-25,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1387-12-29,روز ملی شدن صنعت نفت ایران,
1387-12-30,آخرین روز سال,
1388-01-01,جشن نوروز/جشن سال نو,
1388-01-02,عیدنوروز,
1388-01-03,عیدنوروز,
1388-01-04,عیدنوروز,
1388-01-12,روز جمهوری اسلامی,
1388-01-13,جشن سیزده به در,
1388-03-07,شهادت حضرت فاطمه زهرا سلام الله علیها,
1388-03-14,رحلت حضرت امام خمینی,
1388-03-15,قیام 15 خرداد,
1388-04-15,ولادت امام علی علیه السلام و روز پدر,
1388-04-29,مبعث رسول اکرم (ص),
1388-05-16,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1388-06-20,شهادت حضرت علی علیه السلام,
1388-06-29,عید سعید فطر,
1388-06-30,تعطیل به مناسبت عید سعید فطر,
1388-07-22,شهادت امام جعفر صادق علیه السلام,
1388-09-07,عید سعید قربان,
1388-09-15,عید سعید غدیر خم,
1388-10-05,تاسوعای حسینی,
1388-10-06,عاشورای حسینی,
1388-11-16,اربعین حسینی,
1388-11-22,پیروزی انقلاب اسلامی,
1388-11-24,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1388-11-26,شهادت امام رضا علیه السلام,
1388-12-04,شهادت امام حسن عسکری علیه السلام,
1388-12-13,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1388-12-29,روز ملی شدن صنعت نفت ایران,
1389-01-01,جشن نوروز/جشن سال نو,
1389-01-02,عیدنوروز,
1389-01-03,عیدنوروز,
1389-01-04,عیدنوروز,
1389-01-12,روز جمهوری اسلامی,
1389-01-13,جشن سیزده به در,
1389-02-27,شهادت حضرت فاطمه زهرا سلام الله علیها,
1389-03-14,رحلت حضرت امام خمینی,
1389-03-15,قیام 15 خرداد,
1389-04-05,ولادت امام علی علیه السلام و روز پدر,
1389-04-19,مبعث رسول اکرم (ص),
1389-05-05,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1389-06-10,شهادت حضرت علی علیه السلام,
1389-06-19,عید سعید فطر,
1389-06-20,تعطیل به مناسبت عید سعید فطر,
1389-07-12,شهادت امام جعفر صادق علیه السلام,
1389-08-26,عید سعید قربان,
1389-09-04,عید سعید غدیر خم,
1389-09-24,تاسوعای حسینی,
1389-09-25,عاشورای حسینی,
1389-11-05,اربعین حسینی,
1389-11-13,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1389-11-15,شهادت امام رضا علیه السلام,
1389-11-22,پیروزی انقلاب اسلامی,
1389-11-23,شهادت امام حسن عسکری علیه السلام,
1389-12-02,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1389-12-29,روز ملی شدن صنعت نفت ایران,
