Date,Jalali_Date,Description,Description2
2005-02-10,1383-11-22,Islamic Revolution Day,
2005-02-19,1383-12-01,Tasoua,
2005-02-20,1383-12-02,Ashoura,
2005-03-19,1383-12-29,Oil Nationalization Day,
2005-03-21,1384-01-01,Nowrouz,
2005-03-22,1384-01-02,Nowrouz,
2005-03-23,1384-01-03,Nowrouz,
2005-03-24,1384-01-04,Nowrouz,
2005-03-31,1384-01-11,Arbaeen,
2005-04-01,1384-01-12,Islamic Republic Day,
2005-04-02,1384-01-13,Nature Day,
2005-04-17,1384-01-28,Martyrdom of Imam Hassan Askari,
2005-04-26,1384-02-06,Birthday of Muhammed,
2005-06-04,1384-03-14,Demise of Imam Khomeini,
2005-06-05,1384-03-15,Khordad National Uprising,
2005-07-10,1384-04-19,Death of Fatima,
2005-08-19,1384-05-28,Birthday of Imam Ali,
2005-09-02,1384-06-11,The Prophet's Ascension,
2005-09-20,1384-06-29,Birthday of Imam Mahdi,
2005-10-25,1384-08-03,Martyrdom of Imam Ali,
2005-11-04,1384-08-13,Eid-e-Fitr,
2005-11-05,1384-08-14,Eid-e-Fitr,
2005-11-28,1384-09-07,Martyrdom of Imam Sadeq,
2006-01-11,1384-10-21,Eid-e-Qorban,
2006-01-19,1384-10-29,Eid-e-Ghadir,
2006-02-08,1384-11-19,Tasoua,
2006-02-09,1384-11-20,Ashoura,
2006-02-11,1384-11-22,Islamic Revolution Day,
2006-03-20,1384-12-29,Oil Nationalization Day,
2006-03-21,1385-01-01,Nowrouz,Arbaeen
2006-03-22,1385-01-02,Nowrouz,
2006-03-23,1385-01-03,Nowrouz,
2006-03-24,1385-01-04,Nowrouz,
2006-04-01,1385-01-12,Islamic Republic Day,
2006-04-02,1385-01-13,Nature Day,
2006-04-07,1385-01-18,Martyrdom of Imam Hassan Askari,
2006-04-16,1385-01-27,Birthday of Muhammed,
2006-06-04,1385-03-14,Demise of Imam Khomeini,
2006-06-05,1385-03-15,Khordad National Uprising,
2006-06-29,1385-04-08,Death of Fatima,
2006-08-08,1385-05-17,Birthday of Imam Ali,
2006-08-22,1385-05-31,The Prophet's Ascension,
2006-09-09,1385-06-18,Birthday of Imam Mahdi,
2006-10-15,1385-07-23,Martyrdom of Imam Ali,
2006-10-24,1385-08-02,Eid-e-Fitr,
2006-10-25,1385-08-03,Eid-e-Fitr,
2006-11-17,1385-08-26,Martyrdom of Imam Sadeq,
2006-12-31,1385-10-10,Eid-e-Qorban,
2007-01-08,1385-10-18,Eid-e-Ghadir,
2007-01-29,1385-11-09,Tasoua,
2007-01-30,1385-11-10,Ashoura,
2007-02-11,1385-11-22,Islamic Revolution Day,
2007-03-10,1385-12-19,Arbaeen,
2007-03-20,1385-12-29,Oil Nationalization Day,Martyrdom of Imam Reza
2007-03-21,1386-01-01,Nowrouz,
2007-03-22,1386-01-02,Nowrouz,
2007-03-23,1386-01-03,Nowrouz,
2007-03-24,1386-01-04,Nowrouz,
2007-03-28,1386-01-08,Martyrdom of Imam Hassan Askari,
2007-04-01,1386-01-12,Islamic Republic Day,
2007-04-02,1386-01-13,Nature Day,
2007-04-06,1386-01-17,Birthday of Muhammed,
2007-06-04,1386-03-14,Demise of Imam Khomeini,
2007-06-05,1386-03-15,Khordad National Uprising,
2007-06-18,1386-03-28,Death of Fatima,
2007-07-28,1386-05-06,Birthday of Imam Ali,
2007-08-11,1386-05-20,The Prophet's Ascension,
2007-08-29,1386-06-07,Birthday of Imam Mahdi,
2007-10-03,1386-07-11,Martyrdom of Imam Ali,
2007-10-13,1386-07-21,Eid-e-Fitr,
2007-10-14,1386-07-22,Eid-e-Fitr,
2007-11-06,1386-08-15,Martyrdom of Imam Sadeq,
2007-12-21,1386-09-30,Eid-e-Qorban,
2007-12-29,1386-10-08,Eid-e-Ghadir,
2008-01-18,1386-10-28,Tasoua,
2008-01-19,1386-10-29,Ashoura,
2008-02-11,1386-11-22,Islamic Revolution Day,
2008-02-28,1386-12-09,Arbaeen,
2008-03-16,1386-12-26,Martyrdom of Imam Hassan Askari,
2008-03-19,1386-12-29,Oil Nationalization Day,
2008-03-20,1387-01-01,Nowrouz,
2008-03-21,1387-01-02,Nowrouz,
2008-03-22,1387-01-03,Nowrouz,
2008-03-23,1387-01-04,Nowrouz,
2008-03-25,1387-01-06,Birthday of Muhammed,
2008-03-31,1387-01-12,Islamic Republic Day,
2008-04-01,1387-01-13,Nature Day,
2008-06-03,1387-03-14,Demise of Imam Khomeini,
2008-06-04,1387-03-15,Khordad National Uprising,
2008-06-07,1387-03-18,Death of Fatima,
2008-07-16,1387-04-26,Birthday of Imam Ali,
2008-07-30,1387-05-09,The Prophet's Ascension,
2008-08-17,1387-05-27,Birthday of Imam Mahdi,
2008-09-22,1387-07-01,Martyrdom of Imam Ali,
2008-10-01,1387-07-10,Eid-e-Fitr,
2008-10-02,1387-07-11,Eid-e-Fitr,
2008-10-25,1387-08-04,Martyrdom of Imam Sadeq,
2008-12-09,1387-09-19,Eid-e-Qorban,
2008-12-17,1387-09-27,Eid-e-Ghadir,
2009-01-06,1387-10-17,Tasoua,
2009-01-07,1387-10-18,Ashoura,
2009-02-10,1387-11-22,Islamic Revolution Day,
2009-02-16,1387-11-28,Arbaeen,
2009-02-26,1387-12-08,Martyrdom of Imam Reza,
2009-03-06,1387-12-16,Martyrdom of Imam Hassan Askari,
2009-03-15,1387-12-25,Birthday of Muhammed,
2009-03-19,1387-12-29,Oil Nationalization Day,
2009-03-21,1388-01-01,Nowrouz,
2009-03-22,1388-01-02,Nowrouz,
2009-03-23,1388-01-03,Nowrouz,
2009-03-24,1388-01-04,Nowrouz,
2009-04-01,1388-01-12,Islamic Republic Day,
2009-04-02,1388-01-13,Nature Day,
2009-05-28,1388-03-07,Death of Fatima,
2009-06-04,1388-03-14,Demise of Imam Khomeini,
2009-06-05,1388-03-15,Khordad National Uprising,
2009-07-06,1388-04-15,Birthday of Imam Ali,
2009-07-20,1388-04-29,The Prophet's Ascension,
2009-08-07,1388-05-16,Birthday of Imam Mahdi,
2009-09-11,1388-06-20,Martyrdom of Imam Ali,
2009-09-20,1388-06-29,Eid-e-Fitr,
2009-09-21,1388-06-30,Eid-e-Fitr,
2009-10-14,1388-07-22,Martyrdom of Imam Sadeq,
2009-11-28,1388-09-07,Eid-e-Qorban,
2009-12-06,1388-09-15,Eid-e-Ghadir,
2009-12-26,1388-10-05,Tasoua,
2009-12-27,1388-10-06,Ashoura,
2010-02-05,1388-11-16,Arbaeen,
2010-02-11,1388-11-22,Islamic Revolution Day,
2010-02-15,1388-11-26,Martyrdom of Imam Reza,
2010-02-23,1388-12-04,Martyrdom of Imam Hassa Askari,
2010-03-04,1388-12-13,Birthday of Muhammed,
2010-03-20,1388-12-29,Oil Nationalization Day,
2010-03-21,1389-01-01,Nowrouz,
2010-03-22,1389-01-02,Nowrouz,
2010-03-23,1389-01-03,Nowrouz,
2010-03-24,1389-01-04,Nowrouz,
2010-04-01,1389-01-12,Islamic Republic Day,
2010-04-02,1389-01-13,Nature Day,
2010-05-17,1389-02-27,Death of Fatima,
2010-06-04,1389-03-14,Demise of Imam Khomeini,
2010-06-05,1389-03-15,Khordad National Uprising,
2010-06-26,1389-04-05,Birthday of Imam Ali,
2010-07-10,1389-04-19,The Prophet's Ascension,
2010-07-27,1389-05-05,Birthday of Imam Mahdi,
2010-09-01,1389-06-10,Martyrdom of Imam Ali,
2010-09-10,1389-06-19,Eid-e-Fitr,
2010-09-11,1389-06-20,Eid-e-Fitr,
2010-10-04,1389-07-12,Martyrdom of Imam Sadeq,
