date,event_1,event_2
1390-01-01,جشن نوروز/جشن سال نو,
1390-01-02,عیدنوروز,
1390-01-03,عیدنوروز,
1390-01-04,عیدنوروز,
1390-01-12,روز جمهوری اسلامی,
1390-01-13,جشن سیزده به در,
1390-02-17,شهادت حضرت فاطمه زهرا سلام الله علیها,
1390-03-14,رحلت حضرت امام خمینی,
1390-03-15,قیام 15 خرداد,
1390-03-26,ولادت امام علی علیه السلام و روز پدر,
1390-04-09,مبعث رسول اکرم (ص),
1390-04-26,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1390-05-30,شهادت حضرت علی علیه السلام,
1390-06-09,عید سعید فطر,
1390-06-10,تعطیل به مناسبت عید سعید فطر,
1390-07-02,شهادت امام جعفر صادق علیه السلام,
1390-08-16,عید سعید قربان,
1390-08-24,عید سعید غدیر خم,
1390-09-14,تاسوعای حسینی,
1390-09-15,عاشورای حسینی,
1390-10-24,اربعین حسینی,
1390-11-02,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1390-11-04,شهادت امام رضا علیه السلام,
1390-11-12,شهادت امام حسن عسکری علیه السلام,
1390-11-21,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1390-11-22,پیروزی انقلاب اسلامی,
1390-12-29,روز ملی شدن صنعت نفت ایران,
1391-01-01,جشن نوروز/جشن سال نو,
1391-01-02,عیدنوروز,
1391-01-03,عیدنوروز,
1391-01-04,عیدنوروز,
1391-01-12,روز جمهوری اسلامی,
1391-01-13,جشن سیزده به در,
1391-02-06,شهادت حضرت فاطمه زهرا سلام الله علیها,
1391-03-14,رحلت حضرت امام خمینی,
1391-03-15,قیام 15 خرداد,ولادت امام علی علیه السلام و روز پدر
1391-03-29,مبعث رسول اکرم (ص),
1391-04-15,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1391-05-20,شهادت حضرت علی علیه السلام,
1391-05-29,عید سعید فطر,
1391-05-30,تعطیل به مناسبت عید سعید فطر,
1391-06-22,شهادت امام جعفر صادق علیه السلام,
1391-08-05,عید سعید قربان,
1391-08-13,عید سعید غدیر خم,
1391-09-04,تاسوعای حسینی,
1391-09-05,عاشورای حسینی,
1391-10-14,اربعین حسینی,
1391-10-22,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1391-11-01,شهادت امام حسن عسکری علیه السلام,
1391-11-10,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1391-11-22,پیروزی انقلاب اسلامی,
1391-12-29,روز ملی شدن صنعت نفت ایران,
1391-12-30,آخرین روز سال,
1392-01-01,جشن نوروز/جشن سال نو,
1392-01-02,عیدنوروز,
1392-01-03,عیدنوروز,
1392-01-04,عیدنوروز,
1392-01-12,روز جمهوری اسلامی,
1392-01-13,جشن سیزده به در,
1392-01-25,شهادت حضرت فاطمه زهرا سلام الله علیها,
1392-03-03,ولادت امام علی علیه السلام و روز پدر,
1392-03-14,رحلت حضرت امام خمینی,
1392-03-15,قیام 15 خرداد,
1392-03-17,مبعث رسول اکرم (ص),
1392-04-03,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1392-05-08,شهادت حضرت علی علیه السلام,
1392-05-18,عید سعید فطر,
1392-05-19,تعطیل به مناسبت عید سعید فطر,
1392-06-11,شهادت امام جعفر صادق علیه السلام,
1392-07-24,عید سعید قربان,
1392-08-02,عید سعید غدیر خم,
1392-08-22,تاسوعای حسینی,
1392-08-23,عاشورای حسینی,
1392-10-02,اربعین حسینی,
1392-10-10,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1392-10-12,شهادت امام رضا علیه السلام,
1392-10-20,شهادت امام حسن عسکری علیه السلام,
1392-10-29,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1392-11-22,پیروزی انقلاب اسلامی,
1392-12-29,روز ملی شدن صنعت نفت ایران,
1393-01-01,جشن نوروز/جشن سال نو,
1393-01-02,عیدنوروز,
1393-01-03,عیدنوروز,
1393-01-04,عیدنوروز,
1393-01-12,روز جمهوری اسلامی,
1393-01-13,جشن سیزده به در,
1393-01-14,شهادت حضرت فاطمه زهرا سلام الله علیها,
1393-02-23,ولادت امام علی علیه السلام و روز پدر,
1393-03-06,مبعث رسول اکرم (ص),
1393-03-14,رحلت حضرت امام خمینی,
1393-03-15,قیام 15 خرداد,
1393-03-23,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1393-04-28,شهادت حضرت علی علیه السلام,
1393-05-07,عید سعید فطر,
1393-05-08,تعطیل به مناسبت عید سعید فطر,
1393-05-31,شهادت امام جعفر صادق علیه السلام,
1393-07-13,عید سعید قربان,
1393-07-21,عید سعید غدیر خم,
1393-08-12,تاسوعای حسینی,
1393-08-13,عاشورای حسینی,
1393-09-22,اربعین حسینی,
1393-09-30,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1393-10-02,شهادت امام رضا علیه السلام,
1393-10-10,شهادت امام حسن عسکری علیه السلام,
1393-10-19,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1393-11-22,پیروزی انقلاب اسلامی,
1393-12-29,روز ملی شدن صنعت نفت ایران,
1394-01-01,جشن نوروز/جشن سال نو,
1394-01-02,عیدنوروز,
1394-01-03,عیدنوروز,
1394-01-04,عیدنوروز,شهادت حضرت فاطمه زهرا سلام الله علیها
1394-01-12,روز جمهوری اسلامی,
1394-01-13,جشن سیزده به در,
1394-02-12,ولادت امام علی علیه السلام و روز پدر,
1394-02-26,مبعث رسول اکرم (ص),
1394-03-13,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1394-03-14,رحلت حضرت امام خمینی,
1394-03-15,قیام 15 خرداد,
1394-04-17,شهادت حضرت علی علیه السلام,
1394-04-27,عید سعید فطر,
1394-04-28,تعطیل به مناسبت عید سعید فطر,
1394-05-20,شهادت امام جعفر صادق علیه السلام,
1394-07-02,عید سعید قربان,
1394-07-10,عید سعید غدیر خم,
1394-08-01,تاسوعای حسینی,
1394-08-02,عاشورای حسینی,
1394-09-11,اربعین حسینی,
1394-09-19,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1394-09-21,شهادت امام رضا علیه السلام,
1394-09-29,شهادت امام حسن عسکری علیه السلام,
1394-10-08,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1394-11-22,پیروزی انقلاب اسلامی,
1394-12-23,شهادت حضرت فاطمه زهرا سلام الله علیها,
1394-12-29,روز ملی شدن صنعت نفت ایران,
1395-01-01,جشن نوروز/جشن سال نو,
1395-01-02,عیدنوروز,
1395-01-03,عیدنوروز,
1395-01-04,عیدنوروز,
1395-01-12,روز جمهوری اسلامی,
1395-01-13,جشن سیزده به در,
1395-02-02,ولادت امام علی علیه السلام و روز پدر,
1395-02-16,مبعث رسول اکرم (ص),
1395-03-02,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1395-03-14,رحلت حضرت امام خمینی,
1395-03-15,قیام 15 خرداد,
1395-04-07,شهادت حضرت علی علیه السلام,
1395-04-16,عید سعید فطر,
1395-04-17,تعطیل به مناسبت عید سعید فطر,
1395-05-09,شهادت امام جعفر صادق علیه السلام,
1395-06-22,عید سعید قربان,
1395-06-30,عید سعید غدیر خم,
