Date,Jalali_Date,Description,Description2
2027-01-06,1405-10-16,The Prophet's Ascension,
2027-01-24,1405-11-04,Birthday of Imam Mahdi,
2027-02-11,1405-11-22,Islamic Revolution Day,
2027-03-01,1405-12-10,Martyrdom of Imam Ali,
2027-03-10,1405-12-19,Eid-e-Fitr,
2027-03-11,1405-12-20,Eid-e-Fitr,
2027-03-20,1405-12-29,Oil Nationalization Day,
2027-03-21,1406-01-01,Nowrouz,
2027-03-22,1406-01-02,Nowrouz,
2027-03-23,1406-01-03,Nowrouz,
2027-03-24,1406-01-04,Nowrouz,
2027-04-01,1406-01-12,Islamic Republic Day,
2027-04-02,1406-01-13,Nature Day,
2027-04-03,1406-01-14,Martyrdom of Imam Sadeq,
2027-05-17,1406-02-27,Eid-e-Qorban,
2027-05-25,1406-03-04,Eid-e-Ghadir,
2027-06-04,1406-03-14,Demise of Imam Khomeini,
2027-06-05,1406-03-15,Khordad National Uprising,
2027-06-15,1406-03-25,Tasoua,
2027-06-16,1406-03-26,Ashoura,
2027-07-25,1406-05-03,Arbaeen,
2027-08-11,1406-05-20,Martyrdom of Imam Hassan Askari,
2027-08-20,1406-05-29,Birthday of Muhammed,
2027-11-03,1406-08-12,Death of Fatima,
2027-12-12,1406-09-21,Birthday of Imam Ali,
2027-12-26,1406-10-05,The Prophet's Ascension,
