Date,Jalali_Date,Description,Description2
2001-01-20,1379-11-01,Martyrdom of Imam Sadeq,
2001-02-10,1379-11-22,Islamic Revolution Day,
2001-03-06,1379-12-16,Eid-e-Qorban,
2001-03-14,1379-12-24,Eid-e-Ghadir,
2001-03-19,1379-12-29,Oil Nationalization Day,
2001-03-21,1380-01-01,Nowrouz,
2001-03-22,1380-01-02,Nowrouz,
2001-03-23,1380-01-03,Nowrouz,
2001-03-24,1380-01-04,Nowrouz,
2001-04-01,1380-01-12,Islamic Republic Day,
2001-04-02,1380-01-13,Nature Day,
2001-04-04,1380-01-15,Tasoua,
2001-04-05,1380-01-16,Ashoura,
2001-05-14,1380-02-24,Arbaeen,
2001-05-24,1380-03-03,Martyrdom of Imam Reza,
2001-06-01,1380-03-11,Martyrdom of Imam Hassan Askari,
2001-06-04,1380-03-14,Demise of Imam Khomeini,
2001-06-05,1380-03-15,Khordad National Uprising,
2001-06-10,1380-03-20,Birthday of Muhammed,
2001-08-23,1380-06-01,Death of Fatima,
2001-10-01,1380-07-09,Birthday of Imam Ali,
2001-10-15,1380-07-23,The Prophet's Ascension,
2001-11-01,1380-08-10,Birthday of Imam Mahdi,
2001-12-07,1380-09-16,Martyrdom of Imam Ali,
2001-12-16,1380-09-25,Eid-e-Fitr,
