Date,Jalali_Date,Description,Description2
2002-01-09,1380-10-19,Martyrdom of Imam Sadeq,
2002-02-11,1380-11-22,Islamic Revolution Day,
2002-02-23,1380-12-04,Eid-e-Qorban,
2002-03-03,1380-12-12,Eid-e-Ghadir,
2002-03-20,1380-12-29,Oil Nationalization Day,
2002-03-21,1381-01-01,Nowrouz,
2002-03-22,1381-01-02,Nowrouz,
2002-03-23,1381-01-03,Nowrouz,
2002-03-24,1381-01-04,Nowrouz,Tasoua
2002-03-25,1381-01-05,Ashoura,
2002-04-01,1381-01-12,Islamic Republic Day,
2002-04-02,1381-01-13,Nature Day,
2002-05-03,1381-02-13,Arbaeen,
2002-05-13,1381-02-23,Martyrdom of Imam Reza,
2002-05-21,1381-02-31,Martyrdom of Imam Hassan Askari,
2002-05-30,1381-03-09,Birthday of Muhammed,
2002-06-04,1381-03-14,Demise of Imam Khomeini,
2002-06-05,1381-03-15,Khordad National Uprising,
2002-08-12,1381-05-21,Death of Fatima,
2002-09-21,1381-06-30,Birthday of Imam Ali,
2002-10-05,1381-07-13,The Prophet's Ascension,
2002-10-22,1381-07-30,Birthday of Imam Mahdi,
2002-11-27,1381-09-06,Martyrdom of Imam Ali,
2002-12-06,1381-09-15,Eid-e-Fitr,
2002-12-30,1381-10-09,Martyrdom of Imam Sadeq,
