Date,Jalali_Date,Description,Description2
2025-01-14,1403-10-25,Birthday of Imam Ali,
2025-01-28,1403-11-09,The Prophet's Ascension,
2025-02-10,1403-11-22,Islamic Revolution Day,
2025-02-15,1403-11-27,Birthday of Imam Mahdi,
2025-03-19,1403-12-29,Oil Nationalization Day,
2025-03-21,1404-01-01,Nowrouz,
2025-03-22,1404-01-02,Nowrouz,Martyrdom of Imam Ali
2025-03-23,1404-01-03,Nowrouz,
2025-03-24,1404-01-04,Nowrouz,
2025-03-31,1404-01-11,Eid-e-Fitr,
2025-04-01,1404-01-12,Islamic Republic Day,Eid-e-Fitr
2025-04-02,1404-01-13,Nature Day,
2025-04-24,1404-02-04,Martyrdom of Imam Sadeq,
2025-06-04,1404-03-14,Demise of Imam Khomeini,
2025-06-05,1404-03-15,Khordad National Uprising,
2025-06-07,1404-03-17,Eid-e-Qorban,
2025-06-15,1404-03-25,Eid-e-Ghadir,
2025-07-05,1404-04-14,Tasoua,
2025-07-06,1404-04-15,Ashoura,
2025-08-15,1404-05-24,Arbaeen,
2025-09-01,1404-06-10,Martyrdom of Imam Hassan Askari,
2025-09-10,1404-06-19,Birthday of Muhammed,
2025-11-25,1404-09-04,Death of Fatima,
