Date,Jalali_Date,Description,Description2
2024-01-26,1402-11-06,Birthday of Imam Ali,
2024-02-09,1402-11-20,The Prophet's Ascension,
2024-02-11,1402-11-22,Islamic Revolution Day,
2024-02-26,1402-12-07,Birthday of Imam Mahdi,
2024-03-19,1402-12-29,Oil Nationalization Day,
2024-03-20,1403-01-01,Nowrouz,
2024-03-21,1403-01-02,Nowrouz,
2024-03-22,1403-01-03,Nowrouz,
2024-03-23,1403-01-04,Nowrouz,
2024-03-31,1403-01-12,Islamic Republic Day,
2024-04-01,1403-01-13,Nature Day,Martyrdom of Imam Ali
2024-04-11,1403-01-23,Eid-e-Fitr,
2024-04-12,1403-01-24,Eid-e-Fitr,
2024-05-05,1403-02-16,Martyrdom of Imam Sadeq,
2024-06-03,1403-03-14,Demise of Imam Khomeini,
2024-06-04,1403-03-15,Khordad National Uprising,
2024-06-17,1403-03-28,Eid-e-Qorban,
2024-06-25,1403-04-05,Eid-e-Ghadir,
2024-07-16,1403-04-26,Tasoua,
2024-07-17,1403-04-27,Ashoura,
2024-08-25,1403-06-04,Arbaeen,
2024-09-04,1403-06-14,Martyrdom of Imam Reza,
2024-09-12,1403-06-22,Martyrdom of Imam Hassan Askari,
2024-09-21,1403-06-31,Birthday of Muhammed,
2024-12-05,1403-09-15,Death of Fatima,
