Date,Jalali_Date,Description
2017-02-10,1395-11-22,Islamic Revolution Day
2017-03-02,1395-12-12,Death of Fatima
2017-03-19,1395-12-29,Oil Nationalization Day
2017-03-21,1396-01-01,Nowrouz
2017-03-22,1396-01-02,Nowrouz
2017-03-23,1396-01-03,Nowrouz
2017-03-24,1396-01-04,Nowrouz
2017-04-01,1396-01-12,Islamic Republic Day
2017-04-02,1396-01-13,Nature Day
2017-04-11,1396-01-22,Birthday of Imam Ali
2017-04-25,1396-02-05,The Prophet's Ascension
2017-05-12,1396-02-22,Birthday of Imam Mahdi
2017-06-04,1396-03-14,Demise of Imam Khomeini
2017-06-05,1396-03-15,Khordad National Uprising
2017-06-16,1396-03-26,Martyrdom of Imam Ali
2017-06-26,1396-04-05,Eid-e-Fitr
2017-06-27,1396-04-06,Eid-e-Fitr
2017-07-20,1396-04-29,Martyrdom of Imam Sadeq
2017-09-01,1396-06-10,Eid-e-Qorban
2017-09-09,1396-06-18,Eid-e-Ghadir
2017-09-30,1396-07-08,Tasoua
2017-10-01,1396-07-09,Ashoura
2017-11-09,1396-08-18,Arbaeen
2017-11-19,1396-08-28,Martyrdom of Imam Reza
2017-11-27,1396-09-06,Martyrdom of Imam Hassa Askari
2017-12-06,1396-09-15,Birthday of Muhammed
