Date,Jalali_Date,Description,Description2
2006-01-11,1384-10-21,Eid-e-Qorban,
2006-01-19,1384-10-29,Eid-e-Ghadir,
2006-02-08,1384-11-19,Tasoua,
2006-02-09,1384-11-20,Ashoura,
2006-02-11,1384-11-22,Islamic Revolution Day,
2006-03-20,1384-12-29,Oil Nationalization Day,
2006-03-21,1385-01-01,Nowrouz,Arbaeen
2006-03-22,1385-01-02,Nowrouz,
2006-03-23,1385-01-03,Nowrouz,
2006-03-24,1385-01-04,Nowrouz,
2006-04-01,1385-01-12,Islamic Republic Day,
2006-04-02,1385-01-13,Nature Day,
2006-04-07,1385-01-18,Martyrdom of Imam Hassan Askari,
2006-04-16,1385-01-27,Birthday of Muhammed,
2006-06-04,1385-03-14,Demise of Imam Khomeini,
2006-06-05,1385-03-15,Khordad National Uprising,
2006-06-29,1385-04-08,Death of Fatima,
2006-08-08,1385-05-17,Birthday of Imam Ali,
2006-08-22,1385-05-31,The Prophet's Ascension,
2006-09-09,1385-06-18,Birthday of Imam Mahdi,
2006-10-15,1385-07-23,Martyrdom of Imam Ali,
2006-10-24,1385-08-02,Eid-e-Fitr,
2006-10-25,1385-08-03,Eid-e-Fitr,
2006-11-17,1385-08-26,Martyrdom of Imam Sadeq,
2006-12-31,1385-10-10,Eid-e-Qorban,
