Date,Jalali_Date,Description,Description2
2022-01-06,1400-10-16,Death of Fatima,
2022-02-11,1400-11-22,Islamic Revolution Day,
2022-02-15,1400-11-26,Birthday of Imam Ali,
2022-03-01,1400-12-10,The Prophet's Ascension,
2022-03-18,1400-12-27,Birthday of Imam Mahdi,
2022-03-20,1400-12-29,Oil Nationalization Day,
2022-03-21,1401-01-01,Nowrouz,
2022-03-22,1401-01-02,Nowrouz,
2022-03-23,1401-01-03,Nowrouz,
2022-03-24,1401-01-04,Nowrouz,
2022-04-01,1401-01-12,Islamic Republic Day,
2022-04-02,1401-01-13,Nature Day,
2022-04-23,1401-02-03,Martyrdom of Imam Ali,
2022-05-03,1401-02-13,Eid-e-Fitr,
2022-05-04,1401-02-14,Eid-e-Fitr,
2022-05-27,1401-03-06,Martyrdom of Imam Sadeq,
2022-06-04,1401-03-14,Demise of Imam Khomeini,
2022-06-05,1401-03-15,Khordad National Uprising,
2022-07-10,1401-04-19,Eid-e-Qorban,
2022-07-18,1401-04-27,Eid-e-Ghadir,
2022-08-07,1401-05-16,Tasoua,
2022-08-08,1401-05-17,Ashoura,
2022-09-17,1401-06-26,Arbaeen,
2022-09-27,1401-07-05,Martyrdom of Imam Reza,
2022-10-05,1401-07-13,Martyrdom of Imam Hassan Askari,
2022-10-14,1401-07-22,Birthday of Muhammed,
2022-12-27,1401-10-06,Death of Fatima,
