Date,Jalali_Date,Description,Description2
2023-02-04,1401-11-15,Birthday of Imam Ali,
2023-02-11,1401-11-22,Islamic Revolution Day,
2023-02-18,1401-11-29,The Prophet's Ascension,
2023-03-08,1401-12-17,Birthday of Imam Mahdi,
2023-03-20,1401-12-29,Oil Nationalization Day,
2023-03-21,1402-01-01,Nowrouz,
2023-03-22,1402-01-02,Nowrouz,
2023-03-23,1402-01-03,Nowrouz,
2023-03-24,1402-01-04,Nowrouz,
2023-04-01,1402-01-12,Islamic Republic Day,
2023-04-02,1402-01-13,Nature Day,
2023-04-13,1402-01-24,Martyrdom of Imam Ali,
2023-04-22,1402-02-02,Eid-e-Fitr,
2023-04-23,1402-02-03,Eid-e-Fitr,
2023-05-16,1402-02-26,Martyrdom of Imam Sadeq,
2023-06-04,1402-03-14,Demise of Imam Khomeini,
2023-06-05,1402-03-15,Khordad National Uprising,
2023-06-29,1402-04-08,Eid-e-Qorban,
2023-07-07,1402-04-16,Eid-e-Ghadir,
2023-07-28,1402-05-06,Tasoua,
2023-07-29,1402-05-07,Ashoura,
2023-09-06,1402-06-15,Arbaeen,
2023-09-16,1402-06-25,Martyrdom of Imam Reza,
2023-09-24,1402-07-02,Martyrdom of Imam Hassan Askari,
2023-10-03,1402-07-11,Birthday of Muhammed,
2023-12-17,1402-09-26,Death of Fatima,
