Date,Jalali_Date,Description,Description2
2021-01-17,1399-10-28,Death of Fatima,
2021-02-10,1399-11-22,Islamic Revolution Day,
2021-02-25,1399-12-07,Birthday of Imam Ali,
2021-03-11,1399-12-21,The Prophet's Ascension,
2021-03-19,1399-12-29,Oil Nationalization Day,
2021-03-21,1400-01-01,Nowrouz,
2021-03-22,1400-01-02,Nowrouz,
2021-03-23,1400-01-03,Nowrouz,
2021-03-24,1400-01-04,Nowrouz,
2021-03-29,1400-01-09,Birthday of Imam Mahdi,
2021-04-01,1400-01-12,Islamic Republic Day,
2021-04-02,1400-01-13,Nature Day,
2021-05-04,1400-02-14,Martyrdom of Imam Ali,
2021-05-13,1400-02-23,Eid-e-Fitr,
2021-05-14,1400-02-24,Eid-e-Fitr,
2021-06-04,1400-03-14,Demise of Imam Khomeini,
2021-06-05,1400-03-15,Khordad National Uprising,
2021-06-06,1400-03-16,Martyrdom of Imam Sadeq,
2021-07-21,1400-04-30,Eid-e-Qorban,
2021-07-29,1400-05-07,Eid-e-Ghadir,
2021-08-18,1400-05-27,Tasoua,
2021-08-19,1400-05-28,Ashoura,
2021-09-27,1400-07-05,Arbaeen,
2021-10-07,1400-07-15,Martyrdom of Imam Reza,
2021-10-15,1400-07-23,Martyrdom of Imam Hassan Askari,
2021-10-24,1400-08-02,Birthday of Muhammed,
